"","RID","GroupAssignment","Age_Yrs","Year_of_Study","Live_Pets","Consumer_BARK","Stage","PANAS_PA","SHS","SCS","Engagement","FS","Stress","Homesick","Lonely","PANAS_NA","diff","Group"
"151",151,"Control",18,1,2,2,"post",3.6,3.66666666666667,4.7,2,5.25,3,1,1.4,1.6,-0.1,"Control"
"152",152,"Direct",19,2,2,1,"post",3.6,4,5.1,1,5.75,3,4,1.3,1.2,-0.2,"Direct"
"153",153,"Indirect",19,2,2,1,"post",3.6,4,5.35,2,6.25,2,1,1.5,1.2,-0.15,"Indirect"
"154",154,"Control",23,3,1,1,"post",3.2,4.33333333333333,4.9,2,6,2,2,1.65,2.6,0.0499999999999998,"Control"
"155",155,"Direct",18,1,1,1,"post",3.2,3.66666666666667,4.47368421052632,3,5.625,1,1,1.95,1,-0.2,"Direct"
"156",156,"Indirect",21,4,1,2,"post",3.4,4,4.15,3,5.375,4,3,2.15,2,-0.25,"Indirect"
"157",157,"Control",18,1,2,1,"post",2.6,2.33333333333333,2.9,5,4,5,4,3.1,2.8,0.0500000000000003,"Control"
"158",158,"Direct",20,3,2,1,"post",2.8,4.66666666666667,4.26315789473684,2,6.25,2,1,2.35,1.8,-0.3,"Direct"
"159",159,"Indirect",18,1,2,1,"post",4.2,4,3.35,2,5.75,2,1,2.75,1,-0.3,"Indirect"
"160",160,"Control",23,4,2,1,"post",3.6,4,4.25,2,5.875,3,2,2.15,1.2,0.15,"Control"
"161",161,"Direct",18,1,1,1,"post",2,3.33333333333333,5,3,6.375,2,1,1.6,1.6,0.05,"Direct"
"162",162,"Indirect",19,2,2,1,"post",2.6,4,3.8,3,5.25,1,1,2.25,1.4,-0.15,"Indirect"
"163",163,"Control",18,1,2,1,"post",3.4,2.33333333333333,2.95,5,4.5,3,1,2.9,1,-0.25,"Control"
"164",164,"Direct",20,3,2,1,"post",4.2,3.33333333333333,5.05,2,6.5,2,1,1.5,1.8,-0.15,"Direct"
"165",165,"Indirect",18,1,2,1,"post",4,3.66666666666667,5.3,2,6.125,3,2,1.55,1,-0.25,"Indirect"
"166",166,"Control",19,1,2,1,"post",2.8,2.66666666666667,4.85,3,5.75,5,5,2.1,2.2,0.35,"Control"
"167",167,"Direct",19,1,2,1,"post",4,4,5.05,2,6.625,2,2,1.65,1.8,-0.25,"Direct"
"168",168,"Indirect",18,1,2,1,"post",3.2,2.66666666666667,5.625,2,6.375,1,3,1.15,1,-0.45,"Indirect"
"169",169,"Control",19,1,2,1,"post",3.2,2.33333333333333,3.5,4,5.5,3,4,2.75,2.2,0.223684210526316,"Control"
"170",170,"Direct",19,2,2,1,"post",2.2,4.33333333333333,4.75,2,5.875,1,3,1.75,1.2,-0.5,"Direct"
"171",171,"Indirect",24,4,1,1,"post",2.6,3.66666666666667,3.7,2,6.125,1,1,2.4,1,-0.1,"Indirect"
"172",172,"Control",19,2,2,1,"post",2,2.66666666666667,3.55,3,5.25,4,4,2.45,2,-0.25,"Control"
"173",173,"Direct",19,1,2,1,"post",4.6,5,5.05,3,6.5,1,2,1.5,1.2,-0.1,"Direct"
"174",174,"Indirect",19,1,1,1,"post",2.75,3,4.25,3,5.625,4,1,2.35,4.4,0.25,"Indirect"
"175",175,"Control",19,1,1,1,"post",3,3,3.65,3,4.625,4,1,2.7,4.4,0.278947368421053,"Control"
