Hand #,Marked,Site,Date,Stake,My C Won,Final Hand,Hole Cards,PF Act,Flop,F Act,Turn,T Act,River,R Act,Winner,Winning Hand,Pot,Rake,won_cumul
213870000000,NA,PokerStars,5/18/2020 9:34,$1 NL (6 max),$2.32,(did not show hand),Ks7h,X,7d5c2h,B,0,NA,0,NA,Chip3ter,(did not show hand),$3.50,$0.18,758.46
213870000000,NA,PokerStars,5/18/2020 9:34,$1 NL (6 max),$1.50,(did not show hand),QcTd,R,0,NA,0,NA,0,NA,Chip3ter,(did not show hand),$2.50,$0.00,759.96
213870000000,NA,PokerStars,5/18/2020 9:34,$1 NL (6 max),$0.00,(folded preflop),Td6h,F,4c9sJc,NA,0,NA,0,NA,avan1911,(did not show hand),$7.90,$0.40,759.96
213870000000,NA,PokerStars,5/18/2020 9:35,$1 NL (6 max),$0.00,(folded preflop),Jc2s,F,9c3cAd,NA,0,NA,0,NA,johntozz1,(did not show hand),$10.50,$0.52,759.96
213870000000,NA,PokerStars,5/18/2020 9:35,$1 NL (6 max),$0.00,(folded preflop),Qs7d,F,0,NA,0,NA,0,NA,LdN_callingg,(did not show hand),$2.00,$0.00,759.96
213870000000,NA,PokerStars,5/18/2020 9:35,$1 NL (6 max),($0.50),(folded preflop),Td8s,F,0,NA,0,NA,0,NA,Estelle Getty,(did not show hand),$2.50,$0.00,759.46
213870000000,NA,PokerStars,5/18/2020 9:35,$1 NL (6 max),$0.00,(folded preflop),Th4d,F,8dJh4h,NA,5h,NA,Ac,NA,jwich2232,"Three of a Kind, Jacks",$127.10,$3.00,759.46
213870000000,NA,PokerStars,5/18/2020 9:35,$1 NL (6 max),($0.50),(folded preflop),Jh2h,F,3h8s9c,NA,Qd,NA,4h,NA,SBjf929,"High Card, Ace",$10.50,$0.52,758.96
213870000000,NA,PokerStars,5/18/2020 9:35,$1 NL (6 max),($0.50),(folded preflop),8h2d,F,0,NA,0,NA,0,NA,JDUBB0419,(did not show hand),$2.50,$0.00,758.46
213870000000,NA,PokerStars,5/18/2020 9:35,$1 NL (6 max),$0.50,(did not show hand),KdJs,NA,0,NA,0,NA,0,NA,Chip3ter,(did not show hand),$1.00,$0.00,758.96
213870000000,NA,PokerStars,5/18/2020 9:36,$1 NL (6 max),($3.00),(folded flop),9c7c,R,6s3hAd,F,0,NA,0,NA,Gissa22879,(did not show hand),$7.00,$0.35,755.96
213870000000,NA,PokerStars,5/18/2020 9:36,$1 NL (6 max),$0.00,(folded preflop),7d4c,F,Jd2s3s,NA,0,NA,0,NA,avan1911,(did not show hand),$9.00,$0.45,755.96
213870000000,NA,PokerStars,5/18/2020 9:36,$1 NL (6 max),$0.00,(folded preflop),Th4d,F,3sJd6d,NA,0,NA,0,NA,johntozz1,(did not show hand),$5.50,$0.28,755.96
213870000000,NA,PokerStars,5/18/2020 9:36,$1 NL (6 max),$0.00,(folded preflop),Jd9c,F,0,NA,0,NA,0,NA,Estelle Getty,(did not show hand),$2.50,$0.00,755.96
213870000000,NA,PokerStars,5/18/2020 9:37,$1 NL (6 max),($0.50),(folded preflop),6h5d,F,9h5cTh,NA,Qs,NA,0,NA,Estelle Getty,(did not show hand),$7.50,$0.38,755.46
213870000000,NA,PokerStars,5/18/2020 9:37,$1 NL (6 max),$14.79,"Two Pair, Kings and Fives",KcJc,C,2dKs5s,XC,5c,X,3h,X,Chip3ter,"Two Pair, Kings and Fives",$27.30,$1.36,770.25
